name,country of citizenship,religion or worldview,gender,place of birth,nationality,number of children,residence,Political party,image,occupation,position held,educated at,date of birth,aliases,description,positions_held
Rafidah Aziz,,Islam,female,Kuala Kangsar,,,,United Malays National Organisation,Rafidah Aziz 14 March 2002-3 (cropped).jpg,politician,Member of the Dewan Rakyat,University of Malaya,+1943-11-04T00:00:00Z,"[""Dato' Seri Paduka Rafidah Aziz"", 'Rafidah binti Aziz']",Malaysian politician,"[{'position': 'Member of the Dewan Rakyat', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Shabudin Yahaya,Malaysia,Islam,male,Penang,,,,United Malays National Organisation,,politician,Member of the Dewan Rakyat,,+1965-11-12T00:00:00Z,['Shabudin bin Yahaya'],Malaysian politician,"[{'position': 'Member of the Dewan Rakyat', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Hassan Malek,Malaysia,Islam,male,Negeri Sembilan,,,,United Malays National Organisation,,politician,Member of the Dewan Rakyat,,+1946-04-24T00:00:00Z,['Hasan bin Malek'],Malaysian politician,"[{'position': 'Member of the Dewan Rakyat', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Minister of Domestic Trade and Living Costs', 'start_date': '+2013-00-00T00:00:00Z', 'end_date': '+2015-00-00T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
Mohd Effendi Norwawi,Malaysia,Islam,male,Singapore,,,,Parti Pesaka Bumiputera Bersatu,,politician,Member of the Dewan Rakyat,,+1948-02-01T00:00:00Z,['Effendi Norwawi'],"Chairman, Bloomberg TV Malaysia","[{'position': 'Member of the Dewan Rakyat', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Ismail Idris,,,,,,,,United Malays National Organisation,,politician,,,+1920-01-01T00:00:00Z,[],politician,[]
Yong Woo Ming,,,,,,,,Malaysian Chinese Association,,politician,,,,[],politician,[]
हरिओम सिंह राठौड़,India,,male,Rajsamand,,,,Bharatiya Janata Party,,politician,Member of the 16th Lok Sabha,Bhupal Noble's College,+1957-08-09T00:00:00Z,[],,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
रवनीत सिंह बिट्टू,India,,male,Kotli,,,,Indian National Congress,Ravneet Singh Bittu2.jpg,politician,Member of the 16th Lok Sabha,,+1975-09-10T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'list of members of the 15th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 17th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
भैरों प्रसाद मिश्र,India,,male,Chitrakoot district,,,,Bharatiya Janata Party,,politician,Member of the 16th Lok Sabha,,+1958-09-07T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
सुदीप बंदोपाध्याय,India,,male,Berhampore,,,Bowbazar,All India Trinamool Congress West Bengal,Shri Sudip Bandyopadhyay official portrait.jpg,politician,Member of the 12th Lok Sabha,Krishnath College,+1952-12-10T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 12th Lok Sabha', 'start_date': '+1998-00-00T00:00:00Z', 'end_date': '+1999-00-00T00:00:00Z', 'replaces': 'Debi Prasad Pal', 'replaced_by': 'Sudip Bandyopadhyay'}, {'position': 'Member of the 13th Lok Sabha', 'start_date': '+1999-00-00T00:00:00Z', 'end_date': '+2004-00-00T00:00:00Z', 'replaces': 'Sudip Bandyopadhyay', 'replaced_by': 'Sudhangshu Seal'}, {'position': 'list of members of the 15th Lok Sabha', 'start_date': '+2009-00-00T00:00:00Z', 'end_date': '+2014-00-00T00:00:00Z', 'replaces': '', 'replaced_by': 'Sudip Bandyopadhyay'}, {'position': 'Member of the 16th Lok Sabha', 'start_date': '+2014-05-26T00:00:00Z', 'end_date': '+2019-05-24T00:00:00Z', 'replaces': 'Sudip Bandyopadhyay', 'replaced_by': 'Sudip Bandyopadhyay'}, {'position': 'Member of the 17th Lok Sabha', 'start_date': '+2019-05-30T00:00:00Z', 'end_date': '', 'replaces': 'Sudip Bandyopadhyay', 'replaced_by': ''}]"
जितेंद्र चौधरी,India,,male,,,,,Communist Party of India (Marxist),"A delegation from Tripura led by Shri Jitendra Chaudhury, MP (Lok Sabha), calling on the Union Home Minister, Shri Rajnath Singh, in New Delhi on Thursday, November 24, 2016.jpg",politician,Member of the 16th Lok Sabha,,+1958-06-27T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '+2014-05-26T00:00:00Z', 'end_date': '+2019-05-24T00:00:00Z', 'replaces': 'Baju Ban Riyan', 'replaced_by': ''}]"
प्रह्लाद जोशी,India,,male,Vijayapura,,,,Bharatiya Janata Party,"The Union Minister for Parliamentary Affairs, Coal and Mines, Shri Pralhad Joshi.jpg",politician,Member of the 14th Lok Sabha,,+1962-11-27T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 14th Lok Sabha', 'start_date': '+2009-01-01T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'list of members of the 15th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 17th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Minister of Parliamentary Affairs', 'start_date': '+2019-05-30T00:00:00Z', 'end_date': '', 'replaces': 'Narendra Singh Tomar', 'replaced_by': ''}, {'position': 'Minister of Coal', 'start_date': '+2019-05-30T00:00:00Z', 'end_date': '', 'replaces': 'Piyush Goyal', 'replaced_by': ''}, {'position': 'Minister of Mines', 'start_date': '+2019-05-30T00:00:00Z', 'end_date': '', 'replaces': 'Narendra Singh Tomar', 'replaced_by': ''}]"
जे॰ जयवर्धन,India,,male,Chennai,,,,All India Anna Dravida Munnetra Kazhagam,,politician,Member of the 16th Lok Sabha,Sri Ramachandra Medical College and Research Institute,+1988-01-01T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
सी॰आर॰ चौधरी,India,,male,,,,,Bharatiya Janata Party,"C.R. Chaudhary addressing at the inauguration of the 38th India International Trade Fair (IITF), at Pragati Maidan, in New Delhi.JPG",politician,Member of the 16th Lok Sabha,University of Rajasthan,+1948-03-01T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
राजेश चुडासमा,India,,male,Chorvad,,,,Bharatiya Janata Party,Rajesh Chudasama.jpg,politician,Member of the Gujarat Legislative Assembly,,+1982-04-10T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the Gujarat Legislative Assembly', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 17th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
रणजीत सिंह,India,,male,Singapore,,,,Shiromani Akali Dal,,politician,Member of the 16th Lok Sabha,,+1937-11-08T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
विजय चक्रवर्ती,India,,female,Jorhat,,,,Bharatiya Janata Party,Bijoya Chakravarty in August 2015.jpg,politician,list of members of the 15th Lok Sabha,Gauhati University,+1939-10-07T00:00:00Z,[],भारतीय नेता,"[{'position': 'list of members of the 15th Lok Sabha', 'start_date': '+2009-01-01T00:00:00Z', 'end_date': '+2014-00-00T00:00:00Z', 'replaces': 'Kirip Chaliha', 'replaced_by': ''}, {'position': 'Member of Rajya Sabha', 'start_date': '+1986-00-00T00:00:00Z', 'end_date': '+1992-00-00T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 16th Lok Sabha', 'start_date': '+2014-05-01T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 13th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
हर्षवर्धन,India,Hinduism,male,Delhi,,,,Bharatiya Janata Party,"Harsh Vardhan briefing the media persons on the showcasing of solar technology-led innovations with the support of Department of Science & Technology, in New Delhi.jpg",surgeon,Member of the Delhi Legislative Assembly,Ganesh Shankar Vidyarthi Memorial Medical College,+1954-12-13T00:00:00Z,[],दिल्ली के राजनेता,"[{'position': 'Member of the Delhi Legislative Assembly', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 17th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Minister of Science and Technology', 'start_date': '+2014-11-09T00:00:00Z', 'end_date': '+2021-07-07T00:00:00Z', 'replaces': 'Jitendra Singh', 'replaced_by': 'Jitendra Singh'}]"
अंशुल वर्मा,India,,male,Hardoi,,,,Bharatiya Janata Party,,politician,Member of the 16th Lok Sabha,Panjab University,+1974-07-18T00:00:00Z,[],,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
सदाशिव लोखंडे,India,,male,Ahmednagar,,,,Shiv Sena,,politician,Member of Maharashtra Legislative Assembly,,+1966-00-00T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of Maharashtra Legislative Assembly', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 17th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
बीरेन सिंह एंगती,India,,male,Karbi Anglong district,,,,Indian National Congress,,politician,Member of the 16th Lok Sabha,Gauhati University,+1945-03-02T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'list of members of the 15th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 7th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 8th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
नाटुभाई गोमनभाई पटेल,India,,male,Silvassa,,,,Bharatiya Janata Party,,politician,Member of the 16th Lok Sabha,,+1972-05-04T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '+2014-05-16T00:00:00Z', 'end_date': '+2019-05-23T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'list of members of the 15th Lok Sabha', 'start_date': '+2009-05-22T00:00:00Z', 'end_date': '+2014-05-16T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
अशोक कुमार के॰,India,,male,,,,,All India Anna Dravida Munnetra Kazhagam,,politician,Member of the 16th Lok Sabha,,+1953-09-27T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
के॰सी॰ वेणुगोपाल,India,,male,Kannur,,,,Indian National Congress,K.C. Venugopal.JPG,politician,Member of the Kerala Legislative Assembly,University of Calicut,+1963-02-04T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the Kerala Legislative Assembly', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'list of members of the 15th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
करिया मुंडा,India,,male,Ranchi district,,,,Bharatiya Janata Party,"The Union Minister of Non Conventional Energy Sources Shri Kariya Munda inspecting an exhibition organised during the first meeting of National Hydrogen Energy Board in New Delhi on February 23, 2004 (cropped).jpg",politician,Deputy Speaker of Lok Sabha,Ranchi University,+1936-04-20T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Deputy Speaker of Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 16th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 13th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'list of members of the 15th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 9th Lok Sabha', 'start_date': '+1989-12-02T00:00:00Z', 'end_date': '+1991-03-13T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
तारिक़ अनवर,India,Islam,male,Patna,,,,Indian National Congress,"Tariq Anwar addressing the National Conference of State Ministers of Animal Husbandry, Dairy Development and Fisheries, in New Delhi on February 06, 2013.jpg",politician,Member of the 16th Lok Sabha,,+1951-01-16T00:00:00Z,[],भारतीय राजनीतिज्ञ,"[{'position': 'Member of the 16th Lok Sabha', 'start_date': '+2014-05-16T00:00:00Z', 'end_date': '', 'replaces': 'Nikhil Kumar Choudhary', 'replaced_by': ''}, {'position': 'Member of Rajya Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 7th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the 8th Lok Sabha', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Nguyễn Hữu Thuận,Vietnam,,,,,,,,,politician,member of the National Assembly of Vietnam,,,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Lê Diễn,Vietnam,,male,,,,,,,politician,member of the National Assembly of Vietnam,,+1960-01-01T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Tô Văn Tám,Vietnam,,,,,,,,,politician,member of the National Assembly of Vietnam,,+1963-01-01T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Nguyễn Thị Huệ,Vietnam,,,,,,,,,politician,member of the National Assembly of Vietnam,,+1967-01-01T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Trần Đình Sơn,Vietnam,,,Đông Cương,,,,,,politician,member of the National Assembly of Vietnam,,+1958-01-01T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Đinh Thế Huynh,Vietnam,,male,Nam Định,,,Khương Trung,Communist Party of Vietnam,Dinh The Huynh 2012.jpg,politician,member of the National Assembly of Vietnam,Moscow State University,+1953-05-15T00:00:00Z,[],Chính trị gia Việt Nam,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Trương Văn Vở,Vietnam,,,,,,,,,politician,member of the National Assembly of Vietnam,,+1958-01-01T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Cao Đức Phát,Vietnam,,male,Nam Định,,,Hanoi,Communist Party of Vietnam,Mr. Cao Duc Phat.jpg,scientist,member of the National Assembly of Vietnam,Belarusian State Agricultural Academy,+1959-05-25T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Minister of Agriculture of Vietnam', 'start_date': '+2004-06-01T00:00:00Z', 'end_date': '+2004-11-03T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'Minister of Agriculture of Vietnam', 'start_date': '+2004-11-03T00:00:00Z', 'end_date': '+2016-07-27T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
Nguyễn Thành Bộ,Vietnam,,,,,,,,,politician,member of the National Assembly of Vietnam,,+1956-01-01T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Huỳnh Thành Lập,Vietnam,,,Bến Tre,,,Ho Chi Minh City,,,politician,member of the National Assembly of Vietnam,,+1956-05-25T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Nguyễn Sáng Vang,Vietnam,,,,,,,,,politician,member of the National Assembly of Vietnam,,+1957-01-01T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Nguyễn Thanh Hồng,Vietnam,irreligion,male,Thanh Hóa,,,,,,politician,member of the National Assembly of Vietnam,,+1960-06-08T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Nguyễn Hoàng Việt,Vietnam,,,,,,,,,politician,member of the National Assembly of Vietnam,,+1966-01-01T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Nguyễn Cao Sơn,Vietnam,,,,,,,,,politician,member of the National Assembly of Vietnam,,+1969-01-01T00:00:00Z,[],,"[{'position': 'member of the National Assembly of Vietnam', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
河村建夫,Japan,,male,Hagi,,,,Liberal Democratic Party,Takeo Kawamura 20121110.jpg,politician,member of the House of Representatives of Japan,Keio University,+1942-11-10T00:00:00Z,[],日本の政治家,"[{'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Minister of Education, Culture, Sports, Science and Technology of Japan', 'start_date': '+2003-09-22T00:00:00Z', 'end_date': '+2004-09-27T00:00:00Z', 'replaces': 'Atsuko Tōyama', 'replaced_by': 'Nariaki Nakayama'}, {'position': 'member of the House of Representatives of Japan', 'start_date': '+2017-10-22T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the Yamaguchi Prefectural Assembly', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
盛山正仁,Japan,,male,Nishinomiya,,,,Liberal Democratic Party,Moriyama masahito.2016.jpg,politician,member of the House of Representatives of Japan,University of Tokyo,+1953-12-14T00:00:00Z,['もりやま まさひと'],日本の政治家、官僚 (1953-),"[{'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '+2017-10-22T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
中川郁子,Japan,,female,Niigata Prefecture,,,,Liberal Democratic Party,Nakagawayuko.jpg,politician,member of the House of Representatives of Japan,University of the Sacred Heart,+1958-12-22T00:00:00Z,[],日本の女性政治家,"[{'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '+2021-10-31T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
永岡桂子,Japan,,female,Shibuya-ku,,,,Liberal Democratic Party,Keiko Nagaoka 20151102 (cropped).jpg,politician,member of the House of Representatives of Japan,Gakushuin University,+1953-12-08T00:00:00Z,[],日本の女性政治家 (1953-),"[{'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '+2017-10-22T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Minister of Education, Culture, Sports, Science and Technology of Japan', 'start_date': '+2022-08-10T00:00:00Z', 'end_date': '+2023-09-13T00:00:00Z', 'replaces': 'Shinsuke Suematsu', 'replaced_by': ''}, {'position': 'Minister in charge of Designing the Future of Education', 'start_date': '+2022-08-10T00:00:00Z', 'end_date': '+2023-09-13T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
岩屋毅,Japan,,male,Beppu,,,,Liberal Democratic Party,Takeshi Iwaya (cropped).jpg,politician,member of the House of Representatives of Japan,Waseda University,+1957-08-24T00:00:00Z,[],日本の政治家,"[{'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '+2017-10-22T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Minister of Defense of Japan', 'start_date': '+2018-10-02T00:00:00Z', 'end_date': '+2019-09-11T00:00:00Z', 'replaces': 'Itsunori Onodera', 'replaced_by': ''}, {'position': 'member of the Ōita Prefectural Assembly', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
浮島とも子,Japan,,female,Shinjuku,,,,Komeito,Ukishima Tomoko (2018).png,politician,member of the House of Councillors,,+1963-02-01T00:00:00Z,['浮島智子'],日本の政治家,"[{'position': 'member of the House of Councillors', 'start_date': '+2004-07-01T00:00:00Z', 'end_date': '+2010-07-01T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '+2017-10-22T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
古川禎久,Japan,,male,Kushima,,,,Liberal Democratic Party,Yoshihisa Furukawa 20211004.jpg,politician,member of the House of Representatives of Japan,University of Tokyo,+1965-08-03T00:00:00Z,[],日本の政治家,"[{'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '+2017-10-22T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Minister of Justice', 'start_date': '+2021-10-04T00:00:00Z', 'end_date': '+2022-08-10T00:00:00Z', 'replaces': '', 'replaced_by': 'Yasuhiro Hanashi'}, {'position': 'member of the House of Representatives of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
三浦靖,Japan,,male,Ōda,,,,,20211006miura yasushi.jpg,politician,member of the House of Representatives of Japan,Kanagawa University,+1973-04-09T00:00:00Z,[],日本の政治家,"[{'position': 'member of the House of Representatives of Japan', 'start_date': '+2017-10-22T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'local assemblyperson of Japan', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Councillors', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
前原誠司,Japan,,male,Kyoto,,,,Democratic Party of Japan,Seiji Maehara 20221209teigen 1 (cropped 2).jpg,politician,Minister for Foreign Affairs,Kyoto University,+1962-04-30T00:00:00Z,[],日本の政治家 (1962-),"[{'position': 'Minister for Foreign Affairs', 'start_date': '+2010-09-17T00:00:00Z', 'end_date': '+2011-03-07T00:00:00Z', 'replaces': 'Katsuya Okada', 'replaced_by': 'Yukio Edano'}, {'position': 'Minister of Land, Infrastructure, Transport and Tourism', 'start_date': '+2009-09-16T00:00:00Z', 'end_date': '+2010-09-17T00:00:00Z', 'replaces': 'Kazuyoshi Kaneko', 'replaced_by': 'Sumio Mabuchi'}, {'position': 'member of the House of Representatives of Japan', 'start_date': '+1993-07-18T00:00:00Z', 'end_date': '+1996-00-00T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'Minister of State for Disaster Management', 'start_date': '+2009-09-16T00:00:00Z', 'end_date': '+2010-01-12T00:00:00Z', 'replaces': 'Motoo Hayashi', 'replaced_by': 'Hiroshi Nakai'}, {'position': 'Minister of State for Economic and Fiscal Policy', 'start_date': '+2012-10-01T00:00:00Z', 'end_date': '+2012-12-26T00:00:00Z', 'replaces': 'Motohisa Furukawa', 'replaced_by': 'Akira Amari'}, {'position': 'Minister of State for Science and Technology Policy', 'start_date': '+2012-10-01T00:00:00Z', 'end_date': '+2012-12-26T00:00:00Z', 'replaces': 'Motohisa Furukawa', 'replaced_by': 'Ichita Yamamoto'}, {'position': 'Minister of State for the Nuclear Power Policy and Administration', 'start_date': '+2012-10-01T00:00:00Z', 'end_date': '+2012-12-26T00:00:00Z', 'replaces': 'Goshi Hosono', 'replaced_by': ''}, {'position': 'Minister of State for Space Policy', 'start_date': '+2012-10-01T00:00:00Z', 'end_date': '+2012-12-26T00:00:00Z', 'replaces': 'Motohisa Furukawa', 'replaced_by': 'Ichita Yamamoto'}, {'position': 'member of the Kyōto Prefectural Assembly', 'start_date': '+1991-00-00T00:00:00Z', 'end_date': '+1993-00-00T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '+1996-00-00T00:00:00Z', 'end_date': '+2000-00-00T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the House of Representatives of Japan', 'start_date': '+2000-00-00T00:00:00Z', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
